athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_b82e97573064,Darrell,Curtis,18,17,59,21,80,153,96,3,36,21,10,,0,0,,,,,
lax_5f915ee8a165,Gavin,Gossen,18,18,39,35,74,152,75,0,33,28,7,,0,0,,,,,
lax_cc83c5b32359,Max,Racich,18,18,48,24,72,125,84,2,28,24,5,,0,0,,,,,
lax_31b377603e75,Hunter,Bryant,18,15,32,13,45,133,81,0,16,23,2,,0,0,,,,,
lax_52c9e3589a4f,Brennan,McKneely,18,18,21,8,29,69,36,0,55,21,11,,0,0,,,,,
lax_9e5dd609cd0e,Peyton,LaRocco,18,1,18,10,28,50,36,0,1,9,0,,1,1,,,,,
lax_b54a227e6121,Camden,Deming,18,7,14,8,22,60,30,2,23,21,2,,1,8,,,,,
lax_4f677d7f5538,John,Martin Vince,14,0,11,5,16,30,17,0,11,11,0,,0,0,,,,,
lax_7f8fc38d0f1e,Giovanni,Daddario,17,0,6,6,12,36,20,1,3,9,1,,0,0,,,,,
lax_c8d350afc387,Seth,Grossman,13,0,4,5,9,19,10,0,8,5,4,,0,0,,,,,
lax_a40f3af67500,Dominic,Eckels,5,0,4,0,4,9,6,0,1,0,0,,0,0,,,,,
lax_26c1e635ac42,Camden,Miller,18,18,3,1,4,4,4,0,32,12,17,,0,2,,,,,
lax_e8cbc05599a4,Connor,Dunay,18,2,2,2,4,9,6,0,121,9,3,,234,423,,,,,
lax_580e193d4ca7,Ethan,Washington,4,0,2,0,2,4,2,0,0,0,0,,0,0,,,,,
lax_aeb9052e0ea7,Nik,Leahan,18,15,0,2,2,3,1,0,35,8,16,,0,1,,,,,
lax_56f7611ffa73,Blake,Austin,4,0,1,0,1,5,2,0,0,2,0,,0,0,,,,,
lax_03bcacd7325e,Gary,Bavetta,3,0,1,0,1,1,1,0,0,2,0,,2,2,,,,,
lax_84eea997a282,Garrett,Brenkart,18,3,1,0,1,2,1,0,19,5,10,,0,0,,,,,
lax_2619f015908f,Zachary,Cotton,16,0,1,0,1,1,1,0,9,7,6,,0,0,,,,,
lax_a29f27b8739d,Trent,Mettler,8,0,1,0,1,1,1,0,4,4,1,,1,3,,,,,
lax_c9c4ffb60e75,Jesse,Resnick,3,1,1,0,1,8,4,0,0,0,0,,0,0,,,,,
lax_7c460eaac321,Ayden,Fadrowski,16,1,0,1,1,0,0,0,24,3,13,,0,0,,,,,
lax_51e84c0b9f68,Owen,Johnson,16,0,0,1,1,0,0,0,5,2,3,,0,0,,,,,
lax_d1ba014c71b3,Ryan,Tessler,3,0,0,1,1,0,0,0,1,0,0,,0,0,,,,,
lax_74af8da4524f,Thomas,Tyler,16,1,0,1,1,3,0,0,24,3,11,,0,2,,,,,
lax_2b505199b0be,Anthony,Abromaitis,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_b8f646af5d5c,Kieran,Banks,2,0,0,0,0,0,0,0,0,1,0,,0,0,,4,5.87,2,0.333
lax_c1b24689dd3f,Mason,Blacktopp,6,1,0,0,0,0,0,0,3,1,2,,0,1,,,,,
lax_8a453ab8a8df,Jon,Brennan,9,0,0,0,0,0,0,0,0,0,2,,0,0,,,,,
lax_dbe76011a24b,David,Brown,5,0,0,0,0,0,0,0,1,0,1,,0,0,,,,,
lax_d77b90dbf103,AJ,Cather,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
